subject,subject_en,type
Unvorhergesehener Absturz der Datenanalyse-Plattform,Unexpected end of data analysis platform,Incident
Krankenhaus-Dienstleistung-Problem,Hospital Service Problem,Incident
Ratung für Sicherung medizinischer Daten in HubSpot CRM PostgreSQL-Umgebungen,Advice for the protection of medical data in HubSpot CRM PostgreSQL environments,Request
Notwendige Technische Unterstützung,Necessary technical support,Problem
Verlust medizinischer Daten gemeldet,Loss of medical data reported,Incident
Anfrage für technischen Support,Application for technical support,Incident
Notwendige technische Unterstützung,Necessary technical support,Problem
Technische Probleme,Technical problems,Incident
Bericht über einen Fehler in der Datenaufbereitungsoberfläche,Report of an error in the data preparation area,Problem
Verbesserung des Projekt-Managements mit Ubuntu 20.04 LTS und Redis 6.2,Improve project management with Ubuntu 20.04 LTS and Redis 6.2,Change
Problem bei der medizinischen Scanner-Bearbeitung,Problem with medical scanner processing,Incident
Fehler in den Investment-Modellierungs-Ausgaben,Error in investment modelling output,Incident
Benachrichtigung über unbefugten Zugriff auf Server,Cannot initialise Evolution's mail component.,Incident
Unterstützung bei digitale Kampagnen,Digital Campaign Support,Incident
Frage zur Anpassbaren Digitalen Strategie-Dienstleistung,Question of the Adaptable Digital Strategy Service,Request
Aktualisierung der Datenbank-Clusterverwaltungskonfiguration,Update database cluster management configuration,Change
Frage zum Einsatz von Elasticsearch in Xero und Microsoft-Produkten,Question about the use of Elasticsearch in Xero and Microsoft products,Request
Verfügbare Integrationsoptionen für QuickBooks Online,Available integration options for QuickBooks Online,Request
Sicherheit,Security,Request
Integration von ESET NOD32,Integration of ESET NOD32,Request
Rechnungsfehler,Billing error,Problem
Verschiedene Kampagnen-Metriken,Various campaign metrics,Problem
Anfrage zur Behebung eines Verbindungsaufschluss-Fehlers bei der Website-Analytics-Platteform,Request for a connection closure error on the website Analytics platform,Incident
Probleme mit den Datenanalyse-Dashboards,Problems with data analysis boards,Incident
Netzwerkverbindung fiel während der Datenanalyse aus,Network connection failed during data analysis,Incident
Pilz auf Medizinische Datensicherheit,Pill on Medical Data Security,Change
[NO_SUBJECT],[NO_SUBJECT],Problem
Verbessern Sie die Benutzeroberfläche für eine erweiterte Projektwerkflows-Visualisierung,Improve the user interface for an extended projectflows visualization,Change
Probleme mit den Social-Media-Verfolgungsdaten,Problems with social media tracking data,Incident
Handbuch,Handbook,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
Projekt-Timeline-Problematik,Project Timeline Problem,Problem
Sicherheitslücke in Krankenhaus-System,Safety accidents in the hospital system,Problem
Hilfe bei der MySQL-Integration für SaaS-Projektmanagement-Software,Help with MySQL integration for SaaS project management software,Request
Investment Prognoseunterschied Problem,Investment Prognosis issue,Incident
Technische Problematik,Technical problems,Incident
Strategien für Markenwachstum im Digitalland,Market growth strategies in the digital country,Request
Optimierung von Investitionen mit DataRobot,Optimisation of investments with DataRobot,Request
Strategien für den Markenwachstum,Market growth strategies,Request
Sachverhalt,Case-law,Incident
Finanzfirma Datensynchronisationsprobleme bei Investitionsanalyse aufgrund Netzwerkunstabilität,Financial firm data synchronization problems in investment analysis due to network instability,Problem
Frage zur Digitalisierung von Smart Home Produkten,Question about digitalization of Smart Home products,Request
Notwendige Unterstützung bei Sicherheitsverstoß,Necessary support in the event of security loss,Problem
Hilfe bei der Integration von Microsoft Office 365,Hilfe bei der Integration von Microsoft Office 365,Request
Technische Anomalie,Technical Anomalies,Incident
Technische Anliegen,Technical information,Problem
Investment Support,Investment Support,Incident
Informationen über die Kostenstruktur für die Hemingway-Editor-Integration,Information on the cost structure for Hemingway Editor Integration,Request
Technische Unterstützung,Technical support,Incident
Tools für Datenanalyse in QuickBooks Online,Tools for data analysis in QuickBooks Online,Request
Bericht über Absturz des Crash-Issue-Tools,Crash Issue tool crash report,Incident
Unvereinbare Kosten für Datenanalyse identifiziert,Inadmissible costs for data analysis identified,Problem
Informationen über integrierbare Analysewerkzeuge mit SAP ERP,Information on integrated analytical tools with SAP ERP,Request
[NO_SUBJECT],[NO_SUBJECT],Request
Problem mit der Docker-Aktualisierung,Problem with docking update,Incident
Hilfe bei digitalen Wachstumsstrategien erforderlich,Assistance in digital growth strategies is needed,Incident
Details zu Integrationsoptionen für Microsoft Teams in Projektmanagement-SaaS,Details about integration options for Microsoft teams in project management-SaaS,Request
Problem mit Scanner-Synchronisation,Problem with scanner synchronization,Incident
Probleme bei der Zugriffssteuerung auf Arztakte,Problems with access control on medicinal products,Incident
Google Cloud Support,Google Cloud Support,Request
Bericht über Software-Arbeitsstörung,Report on loss of software,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Fehler in der Datenverschlüsselung,Data encryption error,Problem
Langsame Leistung bei Projektmanagement-SaaS,Long-term performance at project management SaaS,Problem
Versicherung medizinischer Daten in Scrivener Shopware,Medical data insurance in Writeener Shopware,Request
Sicherung medizinischer Daten in Krankenhäusern,Safety of medical data in hospitals,Request
Skalierbare Funktionalitäten für Projektmanagement,Scalable features for project management,Request
Sicherheitsmaßnahmen für medizinische Datenlagerungen,Safety measures for medical data storage,Request
Verbessern der digitalen Marketingstrategie bitte,Please improve the digital marketing strategy,Change
